Fold,Precision,Recall,F1 Score,Time (seconds)
1,0.558248860359076,0.5618374558303887,0.492439577690455,0.12878990173339844
2,0.5321072927929568,0.5300353356890459,0.45785560648920953,0.1307065486907959
3,0.5231119376123347,0.5448113207547169,0.5016512119947438,0.13667845726013184
4,0.5941202644232647,0.5636792452830188,0.4907307836101968,0.1380777359008789
5,0.5048217960310347,0.5436320754716981,0.4616278148898516,0.13417267799377441
6,0.5057202365338231,0.5400943396226415,0.4606824171950644,0.12831997871398926
7,0.5178052012824533,0.5436320754716981,0.45876845700343283,0.13055777549743652
8,0.559610360897335,0.5389150943396226,0.4639211850450938,0.13321924209594727
9,0.5246329502796564,0.5318396226415094,0.4588024899632044,0.13377714157104492
10,0.525375165082847,0.5330188679245284,0.46310887677216883,0.1316204071044922
Average,0.5345554065294782,0.5431495433028869,0.47095884206534205,0.13259198665618896
