tags,count
text-classification,34433
reinforcement-learning,29970
text-generation,27674
text2text-generation,20306
automatic-speech-recognition,12059
token-classification,11947
text-to-image,11142
fill-mask,9483
question-answering,7445
image-classification,6180
feature-extraction,5801
audio-to-audio,3583
translation,2952
conversational,2586
sentence-similarity,2520
text-to-speech,1651
summarization,1403
audio-classification,1393
object-detection,904
unconditional-image-generation,865
multiple-choice,680
video-classification,344
image-segmentation,304
image-to-text,299
image-to-image,205
zero-shot-classification,192
zero-shot-image-classification,185
tabular-classification,183
tabular-regression,89
document-question-answering,80
text-to-audio,79
table-question-answering,78
depth-estimation,74
visual-question-answering,66
text-to-video,48
voice-activity-detection,18
graph-ml,11
other,10
robotics,9
time-series-forecasting,1
